token,freq,n_folios,length,first_char,last_char,in_label_pct,in_paragraph_pct,A_pct,B_pct,dominant_section,dominant_section_pct,is_hapax,specificity,cluster,top_anchors,category
qokar,145,65,5,q,r,0.0,0.9724137931034482,0.10344827586206896,0.8890209125475286,recipes,0.32413793103448274,False,0.32413793103448274,12,"n_paragraphs(npmi=+0.42, n=20) | n_decorative_motifs(npmi=+0.41, n=20) | n_stars(npmi=+0.36, n=21)",[body] recipes/herbal | n_paragraphs+n_decorative_motifs
otar,141,69,4,o,r,0.02127659574468085,0.8794326241134752,0.07801418439716312,0.8222400965212144,recipes,0.46099290780141844,False,0.46099290780141844,25,"n_paragraphs(npmi=+0.48, n=23) | n_decorative_motifs(npmi=+0.47, n=23) | n_stars(npmi=+0.39, n=23)",[body] recipes/herbal | has_moon_face+n_paragraphs
okal,140,76,4,o,l,0.04285714285714286,0.9,0.22857142857142856,0.6703341483292583,recipes,0.4142857142857143,False,0.4142857142857143,23,"n_paragraphs(npmi=+0.33, n=19) | n_decorative_motifs(npmi=+0.31, n=19) | n_stars(npmi=+0.24, n=19)",[body] recipes/herbal | spiral_turns+has_spiral
oteey,135,66,5,o,y,0.007407407407407408,0.7185185185185186,0.11851851851851852,0.6438791732909379,recipes,0.42962962962962964,False,0.42962962962962964,20,"n_decorative_motifs(npmi=+0.37, n=19) | n_paragraphs(npmi=+0.36, n=18) | has_circular_structure(npmi=+0.34, n=19)",[body] recipes | n_concentric_rings+n_human_figures
qoky,133,68,4,q,y,0.0,0.9548872180451128,0.22556390977443608,0.7731248941813873,biological,0.42105263157894735,False,0.42105263157894735,16,"n_nymphs(npmi=+0.42, n=17) | has_water(npmi=+0.40, n=17) | n_pools(npmi=+0.40, n=15)",[body] biological/recipes | has_T_O_diagram+spiral_turns
chckhy,131,74,6,c,y,0.0,0.9541984732824428,0.12213740458015267,0.8617919310706177,herbal,0.366412213740458,False,0.366412213740458,12,"n_nymphs(npmi=+0.32, n=15) | n_pools(npmi=+0.33, n=14) | n_pipes(npmi=+0.34, n=13)",[body] recipes/herbal | n_paragraphs+n_decorative_motifs
otal,130,66,4,o,l,0.05384615384615385,0.9,0.15384615384615385,0.7606382978723404,recipes,0.46923076923076923,False,0.46923076923076923,23,"n_paragraphs(npmi=+0.44, n=21) | n_decorative_motifs(npmi=+0.43, n=21) | n_stars(npmi=+0.41, n=23)",[body] recipes/herbal | spiral_turns+has_spiral
sheey,128,75,5,s,y,0.0078125,0.953125,0.3046875,0.6546915910613165,recipes,0.3671875,False,0.3671875,18,"n_paragraphs(npmi=+0.42, n=22) | n_decorative_motifs(npmi=+0.40, n=22) | n_stars(npmi=+0.38, n=24)",[body] pharmaceutical/herbal | n_petals+has_moon_face
okar,127,65,4,o,r,0.023622047244094488,0.8818897637795275,0.11023622047244094,0.7867187016044106,recipes,0.3464566929133858,False,0.3464566929133858,23,"n_paragraphs(npmi=+0.30, n=16) | n_decorative_motifs(npmi=+0.29, n=16) | n_stars(npmi=+0.25, n=17)",[body] recipes/herbal | spiral_turns+has_spiral
okain,125,50,5,o,n,0.024,0.944,0.048,0.9436376431450323,recipes,0.472,False,0.472,12,"n_decorative_motifs(npmi=+0.48, n=19) | n_paragraphs(npmi=+0.47, n=18) | n_nymphs(npmi=+0.43, n=14)",[body] recipes/herbal | n_paragraphs+n_decorative_motifs
saiin,125,76,5,s,n,0.0,0.912,0.272,0.6785235327926432,recipes,0.304,False,0.304,16,"has_water(npmi=+0.30, n=15) | n_paragraphs(npmi=+0.27, n=17) | n_decorative_motifs(npmi=+0.26, n=17)",[body] biological/recipes | has_T_O_diagram+spiral_turns
ain,121,56,3,a,n,0.0,0.9173553719008265,0.09090909090909091,0.8671171171171171,recipes,0.5371900826446281,False,0.5371900826446281,27,"n_decorative_motifs(npmi=+0.50, n=21) | n_paragraphs(npmi=+0.48, n=20) | n_stars(npmi=+0.39, n=20)",[body] recipes/biological | n_paragraphs+n_decorative_motifs
l,120,48,1,l,l,0.008333333333333333,0.8333333333333334,0.125,0.7492195629552549,recipes,0.5583333333333333,False,0.5583333333333333,0,"n_paragraphs(npmi=+0.48, n=18) | n_decorative_motifs(npmi=+0.47, n=18) | n_stars(npmi=+0.43, n=19)",[body] recipes/pharmaceutical | has_moon_face+n_paragraphs
sho,118,75,3,s,o,0.0,0.9322033898305084,0.8389830508474576,0.1093917136133495,herbal,0.7372881355932204,False,0.7372881355932204,17,"n_visual_text_columns(npmi=+0.24, n=5) | n_leaves_visible(npmi=+0.22, n=4) | n_flowers_visible(npmi=+0.19, n=3)",[body] herbal | has_central_object+spiral_turns
oty,111,75,3,o,y,0.04504504504504504,0.7927927927927928,0.34234234234234234,0.5298972408770936,herbal,0.42342342342342343,False,0.42342342342342343,11,"n_paragraphs(npmi=+0.22, n=15) | has_human_figure(npmi=+0.19, n=17) | n_decorative_motifs(npmi=+0.20, n=15)",[body] herbal/recipes | n_petals+n_paragraphs
she@152;y,108,49,9,s,y,0.0,0.9259259259259259,0.0,0.9907407407407407,biological,0.4166666666666667,False,0.4166666666666667,24,"n_nymphs(npmi=+0.58, n=18) | has_water(npmi=+0.56, n=18) | n_pools(npmi=+0.55, n=16)",[body] biological/recipes | n_nymphs+has_water
@152;aiin,106,67,9,@,n,0.009433962264150943,0.9528301886792453,0.5,0.4507042253521127,herbal,0.44339622641509435,False,0.44339622641509435,18,"n_plant_fragments(npmi=+0.32, n=12) | n_containers(npmi=+0.31, n=10) | n_rows(npmi=+0.31, n=7)",[body] pharmaceutical/herbal | n_petals+has_moon_face
o,105,68,1,o,o,0.02857142857142857,0.6285714285714286,0.3142857142857143,0.40830168204015194,herbal,0.2857142857142857,False,0.2857142857142857,6,"n_paragraphs(npmi=+0.32, n=17) | n_stars(npmi=+0.29, n=19) | n_decorative_motifs(npmi=+0.30, n=17)",[body] cosmological/herbal | has_marginal_annotation+fragments_are_whole_plants
chdy,104,59,4,c,y,0.009615384615384616,0.8557692307692307,0.08653846153846154,0.8550577367205542,herbal,0.36538461538461536,False,0.36538461538461536,25,"n_decorative_motifs(npmi=+0.32, n=16) | n_paragraphs(npmi=+0.31, n=15) | n_stars(npmi=+0.26, n=16)",[body] recipes/herbal | has_moon_face+n_paragraphs
qokey,102,48,5,q,y,0.0,0.9509803921568627,0.1568627450980392,0.8320537428023033,recipes,0.39215686274509803,False,0.39215686274509803,5,"n_nymphs(npmi=+0.56, n=17) | has_water(npmi=+0.54, n=17) | n_pools(npmi=+0.53, n=15)",[body] biological/recipes | n_nymphs+n_pools
oky,100,77,3,o,y,0.05,0.89,0.42,0.49790878311093406,herbal,0.52,False,0.52,14,"n_stars(npmi=+0.13, n=15) | n_decorative_motifs(npmi=+0.13, n=13) | n_paragraphs(npmi=+0.12, n=12)",[body] herbal/recipes | has_moon_face+n_decorative_motifs
cthy,98,57,4,c,y,0.0,0.9897959183673469,0.8979591836734694,0.07078002476269088,herbal,0.8775510204081632,False,0.8775510204081632,17,"n_visual_text_columns(npmi=+0.31, n=5) | branching_depth(npmi=+0.34, n=4) | n_leaves_visible(npmi=+0.29, n=4)",[body] herbal | has_central_object+spiral_turns
qokol,97,58,5,q,l,0.0,0.9484536082474226,0.44329896907216493,0.5233812949640289,herbal,0.30927835051546393,False,0.30927835051546393,15,"n_nymphs(npmi=+0.34, n=13) | has_water(npmi=+0.33, n=13) | n_pools(npmi=+0.31, n=11)",[body] herbal/biological | has_central_object+has_T_O_diagram
otain,95,45,5,o,n,0.010526315789473684,0.968421052631579,0.05263157894736842,0.9363233665559246,recipes,0.5684210526315789,False,0.5684210526315789,12,"n_paragraphs(npmi=+0.54, n=19) | n_decorative_motifs(npmi=+0.53, n=19) | n_stars(npmi=+0.45, n=19)",[body] recipes/herbal | n_paragraphs+n_decorative_motifs
dol,94,62,3,d,l,0.0,0.9361702127659575,0.5957446808510638,0.3805668016194332,herbal,0.43617021276595747,False,0.43617021276595747,15,"n_nymphs(npmi=+0.39, n=15) | n_pools(npmi=+0.40, n=14) | n_pipes(npmi=+0.40, n=13)",[body] herbal/biological | has_central_object+has_T_O_diagram
dair,93,68,4,d,r,0.03225806451612903,0.7956989247311828,0.40860215053763443,0.438931737078393,herbal,0.34408602150537637,False,0.34408602150537637,14,"n_paragraphs(npmi=+0.29, n=16) | n_stars(npmi=+0.26, n=18) | n_decorative_motifs(npmi=+0.27, n=16)",[body] herbal/recipes | has_moon_face+n_decorative_motifs
sheol,92,58,5,s,l,0.010869565217391304,0.9347826086956522,0.391304347826087,0.5519999999999999,recipes,0.2391304347826087,False,0.2391304347826087,11,"n_plant_fragments(npmi=+0.37, n=12) | n_paragraphs(npmi=+0.31, n=15) | n_stars(npmi=+0.29, n=17)",[body] herbal/recipes | n_petals+n_paragraphs
otedy,90,40,5,o,y,0.011111111111111112,0.8555555555555555,0.0,0.9888888888888889,recipes,0.4111111111111111,False,0.4111111111111111,7,"n_nymphs(npmi=+0.47, n=13) | has_water(npmi=+0.46, n=13) | n_paragraphs(npmi=+0.41, n=14)",[body] recipes/biological | n_nymphs+n_pools
am,88,54,2,a,m,0.045454545454545456,0.75,0.1590909090909091,0.6692446506831657,recipes,0.38636363636363635,False,0.38636363636363635,9,"n_paragraphs(npmi=+0.31, n=14) | n_decorative_motifs(npmi=+0.29, n=14) | has_radial_symmetry(npmi=+0.26, n=13)",[body] recipes/zodiac | has_T_O_diagram+spiral_turns
shor,88,60,4,s,r,0.0,0.9772727272727273,0.7045454545454546,0.29310786574429926,herbal,0.7045454545454546,False,0.7045454545454546,17,"n_containers(npmi=+0.10, n=5) | n_flowers_visible(npmi=+0.13, n=2) | branching_depth(npmi=+0.13, n=2)",[body] herbal | has_central_object+spiral_turns
cheor,85,59,5,c,r,0.011764705882352941,0.8588235294117647,0.5647058823529412,0.2921765433796233,herbal,0.35294117647058826,False,0.35294117647058826,8,"n_labels(npmi=+0.20, n=19) | n_plant_fragments(npmi=+0.24, n=9) | n_stars(npmi=+0.17, n=13)",[body] herbal/recipes | spiral_turns+has_spiral
qoty,84,53,4,q,y,0.0,0.9642857142857143,0.30952380952380953,0.6760802033323919,herbal,0.32142857142857145,False,0.32142857142857145,11,"n_nymphs(npmi=+0.37, n=13) | n_pools(npmi=+0.38, n=12) | has_water(npmi=+0.36, n=13)",[body] herbal/recipes | n_petals+n_paragraphs
qotaiin,83,41,7,q,n,0.0,0.9518072289156626,0.1566265060240964,0.8417849898580122,recipes,0.5301204819277109,False,0.5301204819277109,10,"n_paragraphs(npmi=+0.48, n=16) | n_decorative_motifs(npmi=+0.46, n=16) | n_stars(npmi=+0.39, n=16)",[body] herbal/recipes | has_central_object+spiral_turns
qoke@152;y,83,43,10,q,y,0.0,0.963855421686747,0.012048192771084338,0.9878084179970972,biological,0.4939759036144578,False,0.4939759036144578,7,"n_nymphs(npmi=+0.60, n=17) | has_water(npmi=+0.58, n=17) | n_pools(npmi=+0.57, n=15)",[body] recipes/biological | n_nymphs+n_pools
oteedy,83,44,6,o,y,0.012048192771084338,0.8554216867469879,0.012048192771084338,0.9155297532656023,recipes,0.5783132530120482,False,0.5783132530120482,1,"n_paragraphs(npmi=+0.58, n=20) | n_decorative_motifs(npmi=+0.57, n=20) | n_stars(npmi=+0.52, n=21)",[body] recipes/biological | has_central_star+n_paragraphs
chcthy,81,55,6,c,y,0.0,0.8888888888888888,0.25925925925925924,0.7137648131267093,herbal,0.30864197530864196,False,0.30864197530864196,12,"n_paragraphs(npmi=+0.30, n=14) | n_decorative_motifs(npmi=+0.29, n=14) | n_pools(npmi=+0.28, n=10)",[body] recipes/herbal | n_paragraphs+n_decorative_motifs
otol,80,64,4,o,l,0.0375,0.7875,0.5,0.37267080745341613,herbal,0.4125,False,0.4125,13,"n_decorative_motifs(npmi=+0.13, n=11) | n_rays_or_petals(npmi=+0.23, n=3) | n_pipes(npmi=+0.14, n=7)",[body] herbal | has_moon_face+n_petals
lchedy,78,32,6,l,y,0.0,0.9615384615384616,0.01282051282051282,0.9870172555464256,recipes,0.47435897435897434,False,0.47435897435897434,5,"n_paragraphs(npmi=+0.57, n=16) | n_decorative_motifs(npmi=+0.55, n=16) | n_stars(npmi=+0.49, n=16)",[body] biological/recipes | n_nymphs+n_pools
chody,78,59,5,c,y,0.0,0.9487179487179487,0.5,0.4585987261146497,herbal,0.5512820512820513,False,0.5512820512820513,13,"n_paragraphs(npmi=+0.21, n=12) | n_decorative_motifs(npmi=+0.19, n=12) | n_stars(npmi=+0.17, n=13)",[body] herbal | has_moon_face+n_petals
shy,77,55,3,s,y,0.0,0.922077922077922,0.6233766233766234,0.3478333612180023,herbal,0.6623376623376623,False,0.6623376623376623,13,"n_nymphs(npmi=+0.16, n=8) | has_water(npmi=+0.15, n=8) | n_pools(npmi=+0.15, n=7)",[body] herbal | has_moon_face+n_petals
air,77,49,3,a,r,0.03896103896103896,0.7922077922077922,0.09090909090909091,0.7134433962264151,recipes,0.5194805194805194,False,0.5194805194805194,9,"n_paragraphs(npmi=+0.54, n=20) | n_decorative_motifs(npmi=+0.52, n=20) | n_stars(npmi=+0.45, n=20)",[body] recipes/zodiac | has_T_O_diagram+spiral_turns
cheody,75,52,6,c,y,0.013333333333333334,0.88,0.36,0.517515923566879,recipes,0.37333333333333335,False,0.37333333333333335,8,"n_stars(npmi=+0.45, n=21) | n_paragraphs(npmi=+0.42, n=17) | n_decorative_motifs(npmi=+0.40, n=17)",[body] herbal/recipes | spiral_turns+has_spiral
sar,75,51,3,s,r,0.0,0.8,0.18666666666666668,0.6517112963291364,recipes,0.32,False,0.32,21,"n_paragraphs(npmi=+0.29, n=13) | n_nymphs(npmi=+0.31, n=11) | n_decorative_motifs(npmi=+0.28, n=13)",[body] recipes/herbal | has_T_O_diagram+has_moon_face
char,73,52,4,c,r,0.0136986301369863,0.9178082191780822,0.410958904109589,0.5312558313118119,herbal,0.4383561643835616,False,0.4383561643835616,23,"n_decorative_motifs(npmi=+0.44, n=18) | n_paragraphs(npmi=+0.42, n=17) | n_stars(npmi=+0.34, n=17)",[body] recipes/herbal | spiral_turns+has_spiral
cho,73,56,3,c,o,0.0136986301369863,0.821917808219178,0.684931506849315,0.18999814091838632,herbal,0.5616438356164384,False,0.5616438356164384,4,"n_decorative_motifs(npmi=+0.25, n=13) | n_stars(npmi=+0.22, n=14) | n_paragraphs(npmi=+0.23, n=12)",[body] herbal | has_moon_face+has_star_motif
cheo,73,40,4,c,o,0.0,0.9041095890410958,0.3424657534246575,0.5726559581621218,recipes,0.5342465753424658,False,0.5342465753424658,8,"n_stars(npmi=+0.53, n=20) | n_paragraphs(npmi=+0.49, n=16) | n_decorative_motifs(npmi=+0.47, n=16)",[body] herbal/recipes | spiral_turns+has_spiral
qokee@152;y,72,31,11,q,y,0.0,0.9861111111111112,0.0,1.0,recipes,0.5416666666666666,False,0.5416666666666666,7,"n_pools(npmi=+0.51, n=11) | n_paragraphs(npmi=+0.47, n=13) | n_decorative_motifs(npmi=+0.45, n=13)",[body] recipes/biological | n_nymphs+n_pools
okol,71,54,4,o,l,0.04225352112676056,0.8450704225352113,0.5915492957746479,0.2793625811528625,herbal,0.323943661971831,False,0.323943661971831,4,"n_plant_fragments(npmi=+0.31, n=10) | n_labels(npmi=+0.21, n=18) | n_containers(npmi=+0.28, n=8)",[body] herbal | has_moon_face+has_star_motif
sain,66,38,4,s,n,0.0,0.9090909090909091,0.07575757575757576,0.8777803256133914,recipes,0.36363636363636365,False,0.36363636363636365,1,"n_paragraphs(npmi=+0.43, n=14) | n_decorative_motifs(npmi=+0.42, n=14) | n_nymphs(npmi=+0.45, n=12)",[body] recipes/biological | has_central_star+n_paragraphs
qokchy,65,51,6,q,y,0.0,0.9384615384615385,0.5846153846153846,0.3964344358433028,herbal,0.6615384615384615,False,0.6615384615384615,13,"n_paragraphs(npmi=+0.14, n=9) | n_decorative_motifs(npmi=+0.13, n=9) | n_stars(npmi=+0.11, n=10)",[body] herbal | has_moon_face+n_petals
okedy,65,34,5,o,y,0.015384615384615385,0.9230769230769231,0.0,0.9692307692307692,recipes,0.35384615384615387,False,0.35384615384615387,7,"n_nymphs(npmi=+0.40, n=10) | has_water(npmi=+0.39, n=10) | n_pools(npmi=+0.39, n=9)",[body] recipes/biological | n_nymphs+n_pools
qotar,64,40,5,q,r,0.0,0.9375,0.03125,0.9682772083943387,recipes,0.453125,False,0.453125,25,"n_paragraphs(npmi=+0.45, n=15) | n_decorative_motifs(npmi=+0.44, n=15) | n_stars(npmi=+0.37, n=15)",[body] recipes/herbal | has_moon_face+n_paragraphs
qotal,64,36,5,q,l,0.0,0.96875,0.0625,0.9053658536585366,biological,0.421875,False,0.421875,24,"n_nymphs(npmi=+0.47, n=12) | has_water(npmi=+0.45, n=12) | n_pools(npmi=+0.46, n=11)",[body] biological/recipes | n_nymphs+has_water
